pibew	pA	opt. [1] ac. sg. 3			184
agnim	agni	m. sg. acc.			184
prApwaH	prApwa	m. sg. nom.	prAp	pp.	184
vanam	vana	n. sg. acc.			184
wIrWam	wIrWa	n. sg. nom.			184
puNyam	puNya	n. sg. nom.			183
rAmam	rAma	m. sg. acc.			183
Srowum	Sru	inf.			182
karNam	karNa	m. sg. acc.			181
xuHKam	xuHKa	n. sg. nom.			181
yajFaH	yajFa	m. sg. nom.			181
prawyuvAca	prawivac	pft. ac. sg. 3			181
pravakRyAmi	pravac	fut. ac. sg. 1			180
alam	alam	ind.			180
xAnam	xAna	n. sg. nom.			179
qwe	qwe	ind.			178
vakRyAmi	vac	fut. ac. sg. 1			178
bahiH	bahis	ind.			178
hawvA	han	abs.			178
kaWaFcana	kaWaFcana	ind.			177
SaraNam	SaraNa	n. sg. acc.			177
kena	kim	m. sg. i.			176
SabxaH	Sabxa	m. sg. nom.			176
gacCa	gam	imp. [1] ac. sg. 2			176
parasparam	paraspara	m. sg. acc.			175
pawiH	pawi	m. sg. nom.			173
piwQn	piwq	m. pl. acc.			172
wAni	wax	n. pl. nom.			171
yAni	yax	n. pl. nom.			171
nqpa	nqpa	m. sg. voc.			171
prANAn	prANa	m. pl. acc.			170
lokaH	loka	m. sg. nom.			170
vixyAw	vix	opt. [2] ac. sg. 3			169
piwaram	piwq	m. sg. acc.			169
aXaH	aXas	ind.			167
wO	wax	m. du. acc.			167
safgrAme	safgrAma	m. sg. loc.			167
upari	upari	ind.			166
yeRAm	yax	m. pl. g.			166
bahuXA	bahuXA	ind.			166
SakraH	Sakra	m. sg. nom.			166
yayAwiH	yayAwi	m. sg. nom.			166
SreRTaH	SreRTa	m. sg. nom.			165
eRA	ewax	f. sg. nom.			165
xevasya	xeva	m. sg. g.			165
syuH	as	opt. [2] ac. pl. 3			164
puruRam	puruRa	m. sg. acc.			164
sAwyakiH	sAwyaki	m. sg. nom.			164
bahavaH	bahu	m. pl. nom.			163
anyonyam	anyonya	m. sg. acc.			163
yAnwi	yA	pr. [2] ac. pl. 3			163
piwAmahaH	piwAmaha	m. sg. nom.			163
mucyawe	muc	pr. ps. sg. 3			162
prANaH	prANa	m. sg. nom.			161
balavAn	balavaw	m. sg. nom.			161
anu	anu	ind.			161
manuH	manu	m. sg. nom.			161
ewAni	ewax	n. pl. nom.			160
yukwaH	yukwa	m. sg. nom.	yuj	pp.	160
nUnam	nUnam	ind.			160
praviSya	praviS	abs.			160
xivyam	xivya	n. sg. acc.			160
qRiH	qRi	m. sg. nom.			160
vipraH	vipra	m. sg. nom.			159
yojayew	yuj	ca. opt. ac. sg. 3			158
brahma	brahman	n. sg. acc.			158
nqpaH	nqpa	m. sg. nom.			158
prIwaH	prIwa	m. sg. nom.	prI	pp.	158
prApnowi	prAp	pr. [5] ac. sg. 3			158
wriRu	wri	m. pl. loc.			158
yaWAviXi	yaWAviXi	ind.			158
lokam	loka	m. sg. acc.			157
avApnowi	avAp	pr. [5] ac. sg. 3			157
jagrAha	grah	pft. ac. sg. 3			157
anware	anwara	n. sg. loc.			156
iwihAsam	iwihAsa	m. sg. acc.			156
paramAm	parama	f. sg. acc.			155
ekam	eka	n. sg. nom.			155
xevI	xevI	f. sg. nom.			155
rAmasya	rAma	m. sg. g.			155
wAH	wax	f. pl. nom.			154
sixXim	sixXi	f. sg. acc.			154
pqWivyAm	pqWivI	f. sg. loc.			154
pqRtaH	pqRta	m. sg. nom.	praS	pp.	154
bANEH	bANa	m. pl. i.			154
anyAn	anya	m. pl. acc.			153
gawiH	gawi	f. sg. nom.			153
mqwyuH	mqwyu	m. sg. nom.			152
apare	apara	m. pl. nom.			152
bahuBiH	bahu	m. pl. i.			152
vAk	vAc	f. sg. nom.			152
somaH	soma	m. sg. nom.			151
Baxram	Baxra	n. sg. nom.			151
rAvaNaH	rAvaNa	m. sg. nom.			151
uwwamam	uwwama	m. sg. acc.			150
xvO	xvi	m. du. nom.			150
pANdavAn	pANdava	m. pl. acc.			150
sUryaH	sUrya	m. sg. nom.			149
jaGAna	han	pft. ac. sg. 3			149
me	asmax	* sg. dat.			149
wejasA	wejas	n. sg. i.			149
kaxAcana	kaxAcana	ind.			148
pApam	pApa	n. sg. acc.			148
sWAnam	sWAna	n. sg. acc.			147
purAwanam	purAwana	m. sg. acc.			147
anena	ixam	n. sg. i.			146
SivaH	Siva	m. sg. nom.			146
arWe	arWa	m. sg. loc.			146
iwaH	iwas	ind.			146
akarow	kq	impft. [8] ac. sg. 3			146
naH	asmax	* pl. acc.			146
Sawam	Sawa	n. sg. acc.			145
kRipew	kRip	opt. [6] ac. sg. 3			145
mahAwmanAm	mahAwman	m. pl. g.			145
carew	car	opt. [1] ac. sg. 3			143
manaH	manas	n. sg. acc.			143
annam	anna	n. sg. acc.			143
pApam	pApa	n. sg. nom.			143
vexa	vix	pft. ac. sg. 3			143
puwrAH	puwra	m. pl. nom.			143
pArWiva	pArWiva	m. sg. voc.			143
sarvAH	sarva	f. pl. nom.			142
sarvaxA	sarvaxA	ind.			142
AwmanA	Awman	m. sg. i.			142
anyam	anya	m. sg. acc.			142
xroNam	xroNa	m. sg. acc.			142
gqhIwvA	grah	abs.			142
BrAwqBiH	BrAwq	m. pl. i.			142
Bava	BU	imp. [1] ac. sg. 2			142
gawe	gawa	m. sg. loc.	gam	pp.	141
mAnavaH	mAnava	m. sg. nom.			141
arWam	arWa	m. sg. acc.			140
xawwam	xawwa	n. sg. nom.	xA	pp.	140
xeyam	xeya	n. sg. nom.	xA	pfp. [1]	140
wejaH	wejas	n. sg. nom.			140
mawiH	mawi	f. sg. nom.			140
xevEH	xeva	m. pl. i.			140
wuByam	yuRmax	* sg. dat.			140
apaSyaw	paS	impft. [4] ac. sg. 3			140
prawApavAn	prawApavaw	m. sg. nom.			140
SawaSaH	SawaSas	ind.			140
piwAmaha	piwAmaha	m. sg. voc.			140
pumAn	puMs	m. sg. nom.			139
prAhuH	prAh	pft. ac. pl. 3			139
safKye	safKya	n. sg. loc.			139
mawaH	mawa	m. sg. nom.	man	pp.	138
narAH	nara	m. pl. nom.			137
rAkRasaH	rAkRasa	m. sg. nom.			137
provAca	pravac	pft. ac. sg. 3			137
vivyAXa	vyaX	pft. ac. sg. 3			137
sanawkumAraH	sanawkumAra	m. sg. nom.			137
ekam	eka	n. sg. acc.			136
ruxraH	ruxra	m. sg. nom.			136
yuXiRTiram	yuXiRTira	m. sg. acc.			136
mahAwmAnaH	mahAwman	m. pl. nom.			136
rasam	rasa	m. sg. acc.			134
annam	anna	n. sg. nom.			134
amqwam	amqwa	n. sg. nom.			134
BakwyA	Bakwi	f. sg. i.			134
ekena	eka	m. sg. i.			133
sanwi	as	pr. [2] ac. pl. 3			133
vIra	vIra	m. sg. voc.			133
samAcarew	samAcar	opt. [1] ac. sg. 3			132
viXinA	viXi	m. sg. i.			132
Xanam	Xana	n. sg. acc.			132
sUwaH	sUwa	m. sg. nom.			132
brahman	brahman	m. sg. voc.			132
gawAH	gawa	m. pl. nom.	gam	pp.	131
SUraH	SUra	m. sg. nom.			131
XanuH	Xanus	n. sg. acc.			131
mahawA	mahaw	m. sg. i.			131
xaxAwi	xA	pr. [3] ac. sg. 3			131
bravImi	brU	pr. [2] ac. sg. 1			131
uxAharanwi	uxAhq	pr. [1] ac. pl. 3			131
ewAn	ewax	m. pl. acc.			130
ISvaraH	ISvara	m. sg. nom.			130
sarveRu	sarva	m. pl. loc.			130
XImAn	XImaw	m. sg. nom.			130
xvijaH	xvija	m. sg. nom.			130
piwQNAm	piwq	m. pl. g.			130
icCasi	iR	pr. [6] ac. sg. 2			130
vegena	vega	m. sg. i.			130
prAwaH	prAwar	ind.			129
pravarwawe	pravqw	pr. [1] md. sg. 3			129
yogam	yoga	m. sg. acc.			129
kAFcanam	kAFcana	n. sg. nom.			129
cakruH	kq	pft. ac. pl. 3			129
rAGavaH	rAGava	m. sg. nom.			129
kurvIwa	kq	opt. [8] md. sg. 3			128
Awmani	Awman	m. sg. loc.			128
xviXA	xviXA	ind.			128
wyakwvA	wyaj	abs.			128
aBARawa	BAR	impft. [1] md. sg. 3			128
mahAwmAnam	mahAwman	m. sg. acc.			128
avApnuyAw	avAp	opt. [5] ac. sg. 3			127
sarvaH	sarva	m. sg. nom.			127
SakuniH	Sakuni	m. sg. nom.			127
cakRuH	cakRus	n. sg. nom.			127
yAm	yax	f. sg. acc.			127
rAjFA	rAjan	m. sg. i.			127
ewam	ewax	m. sg. acc.			127
puwrAn	puwra	m. pl. acc.			126
janAH	jana	m. pl. nom.			126
wAsAm	wax	f. pl. g.			126
Bagavan	Bagavaw	m. sg. voc.			126
xinam	xina	n. sg. acc.			126
wuRtaH	wuRta	m. sg. nom.	wuR	pp.	126
asmE	ixam	m. sg. dat.			126
Ahave	Ahava	m. sg. loc.			126
praBqwi	praBqwi	ind.			126
ixAnIm	ixAnIm	ind.			125
munayaH	muni	m. pl. nom.			125
priye	priya	f. sg. voc.			125
UcuH	vac	pft. ac. pl. 3			125
aparaH	apara	m. sg. nom.			124
sawwvam	sawwva	n. sg. nom.			124
paramam	parama	m. sg. acc.			124
gqham	gqha	n. sg. acc.			124
sUwam	sUwa	m. sg. acc.			124
rAjAnaH	rAjan	m. pl. nom.			124
vaH	yuRmax	* pl. acc.			124
XImawaH	XImaw	m. sg. g.			124
Acarew	Acar	opt. [1] ac. sg. 3			123
asmin	ixam	n. sg. loc.			123
kAmam	kAma	m. sg. acc.			123
vqwaH	vqwa	m. sg. nom.	vq	pp.	123
viXiH	viXi	m. sg. nom.			122
AyuH	Ayus	n. sg. acc.			122
sarvANi	sarva	n. pl. nom.			122
aho	aho	ind.			122
prokwaH	prokwa	m. sg. nom.	pravac	pp.	121
sAXu	sAXu	n. sg. acc.			121
icCawi	iR	pr. [6] ac. sg. 3			121
yasmin	yax	m. sg. loc.			121
sarvANi	sarva	n. pl. acc.			121
lepayew	lip	ca. opt. ac. sg. 3			121
parAm	para	f. sg. acc.			121
xqRtaH	xqRta	m. sg. nom.	xqS	pp.	121
kariRyAmi	kq	fut. ac. sg. 1			120
bahUn	bahu	m. pl. acc.			120
guNEH	guNa	m. pl. i.			120
cawvAraH	cawur	m. pl. nom.			120
xuryoXanam	xuryoXana	m. sg. acc.			120
mahIpawiH	mahIpawi	m. sg. nom.			120
vIryam	vIrya	n. sg. acc.			119
wyajew	wyaj	opt. [1] ac. sg. 3			119
kanyAm	kanyA	f. sg. acc.			119
brAhmaNAn	brAhmaNa	m. pl. acc.			119
kule	kula	n. sg. loc.			119
priyam	priya	n. sg. acc.			118
mahIm	mahI	f. sg. acc.			118
pqWivI	pqWivI	f. sg. nom.			118
aSnuwe	aS	pr. [5] md. sg. 3			117
kRayam	kRaya	m. sg. acc.			117
lakRaNam	lakRaNa	n. sg. nom.			117
varjayew	vqj	ca. opt. ac. sg. 3			117
anyEH	anya	m. pl. i.			117
viXIyawe	viXA	pr. ps. sg. 3			117
lokasya	loka	m. sg. g.			117
jIvew	jIv	opt. [1] ac. sg. 3			117
kiFca	kiFca	ind.			117
mA	mA	ind.			117
jIvawi	jIv	pr. [1] ac. sg. 3			116
varuNaH	varuNa	m. sg. nom.			116
kurvan	kurvaw	m. sg. nom.	kq	ppr. [8] ac.	116
samaH	sama	m. sg. nom.			116
sahasA	sahasA	adv.			116
kasmAw	kim	n. sg. abl.			116
Sriyam	SrI	f. sg. acc.			116
SiraH	Siras	n. sg. acc.			115
vijFAya	vijFA	abs.			115
smqwAH	smqwa	m. pl. nom.	smq	pp.	115
san	saw	m. sg. nom.	as	ppr. [2] ac.	115
xqRtam	xqRta	n. sg. nom.	xqS	pp.	115
kariRyawi	kq	fut. ac. sg. 3			115
niboXa	nibuX	imp. [1] ac. sg. 2			114
BiRak	BiRaj	m. sg. nom.			114
karmANi	karman	n. pl. acc.			114
swrINAm	swrI	f. pl. g.			114
prajAH	prajA	f. pl. acc.			114
wriXA	wriXA	ind.			114
praNamya	praNam	abs.			114
kOnweya	kOnweya	m. sg. voc.			114
uwsqjya	uwsqj	abs.			114
BarawaH	Barawa	m. sg. nom.			114
kqRNa	kqRNa	m. sg. voc.			114
praviveSa	praviS	pft. ac. sg. 3			114
yajFasya	yajFa	m. sg. g.			113
rAjFAm	rAjan	m. pl. g.			113
rAwrO	rAwri	f. sg. loc.			113
asmABiH	asmax	* pl. i.			113
viRNum	viRNu	m. sg. acc.			113
jajFe	jan	pft. md. sg. 3			113
brAhmaNasya	brAhmaNa	m. sg. g.			113
sanAwanaH	sanAwana	m. sg. nom.			113
XarmeNa	Xarma	m. sg. i.			113
SarAn	Sara	m. pl. acc.			113
guNAn	guNa	m. pl. acc.			112
SarIram	SarIra	n. sg. nom.			112
pawim	pawi	m. sg. acc.			112
Sawam	Sawa	n. sg. nom.			112
